rank,finalWorth,personName,age,country,city,source,industries,countryOfCitizenship,organization,selfMade,status,gender,lastName,firstName,title,state,residenceStateRegion,birthYear,birthMonth,birthDay,cpi_country,cpi_change_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country,latitude_country,longitude_country
1164,2600,Michael S. Smith,67.0,United States,Miami Beach,Liquefied natural gas,Energy,United States,,True,U,M,Smith,Michael S.,Investor,Florida,South,1955.0,5.0,9.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1164,2600,Julia Thiele-Schuerhoff,51.0,Germany,Munich,"Brakes, investments",Manufacturing,Germany,,False,D,F,Thiele-Schuerhoff,Julia,,,,1972.0,1.0,1.0,112.85,1.4,"$3,845,630,030,824 ",70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526
1164,2600,John Tyson & family,69.0,United States,Springdale,Food processing,Food & Beverage,United States,,False,D,M,Tyson,John,,Arkansas,South,1953.0,9.0,5.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1164,2600,Anna Katharina Viessmann,,Germany,Battenberg,Heating and cooling equipment,Manufacturing,Germany,,False,D,F,Viessmann,Anna Katharina,,,,,,,112.85,1.4,"$3,845,630,030,824 ",70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526
1164,2600,Jurgen Wirtgen,57.0,,,Construction Vehicles,Construction & Engineering,Germany,,False,N,M,Wirtgen,Jurgen,,,,1965.0,7.0,1.0,,,,,,,,,,,
1164,2600,Stefan Wirtgen,52.0,,,Construction Vehicles,Construction & Engineering,Germany,,False,N,M,Wirtgen,Stefan,,,,1970.0,7.0,1.0,,,,,,,,,,,
1164,2600,Zhao Lixin,57.0,China,Shanghai,Electronics,Technology,China,,True,D,M,Zhao,Lixin,,,,1966.0,1.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1164,2600,Hongyi Zhou,52.0,China,Beijing,Security software,Technology,China,,True,U,M,Zhou,Hongyi,,,,1970.0,10.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1217,2500,S. Daniel Abraham,98.0,United States,Palm Beach,Slim-Fast,Food & Beverage,United States,S. Daniel Abraham Center for Middle East Peace,True,U,M,Abraham,S. Daniel,Chairman,Florida,South,1924.0,8.0,15.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1217,2500,Bill Alfond,74.0,United States,Boston,Shoes,Fashion & Retail,United States,,False,D,M,Alfond,Bill,,Massachusetts,Northeast,1948.0,5.0,16.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1217,2500,Susan Alfond,77.0,United States,Scarborough,Shoes,Fashion & Retail,United States,,False,D,F,Alfond,Susan,,Maine,Northeast,1945.0,7.0,19.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1217,2500,Ted Alfond,78.0,United States,Weston,Shoes,Fashion & Retail,United States,,False,D,M,Alfond,Ted,,Massachusetts,Northeast,1944.0,8.0,19.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1217,2500,Riley Bechtel & family,71.0,United States,San Francisco,"Engineering, construction",Construction & Engineering,United States,Bechtel Corp.,False,D,M,Bechtel,Riley,former Chairman and CEO,California,West,1952.0,3.0,25.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1217,2500,Thor Bjorgolfsson,56.0,United Kingdom,London,Investments,Diversified,Iceland,,True,E,M,Bjorgolfsson,Thor,,,,1967.0,3.0,19.0,119.62,1.7,"$2,827,113,184,696 ",60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973
1217,2500,Charles Bronfman,91.0,United States,Palm Beach,Liquor,Food & Beverage,Canada,,False,E,M,Bronfman,Charles,,Florida,South,1931.0,6.0,27.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1217,2500,Vivek Chand Burman,85.0,India,Delhi,Consumer goods,Food & Beverage,India,,False,D,M,Burman,Vivek Chand,,,,1937.0,4.0,28.0,180.44,7.7,"$2,611,000,000,000 ",28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
1217,2500,Herb Chambers,81.0,United States,Boston,Car dealerships,Automotive,United States,,True,U,M,Chambers,Herb,,Massachusetts,Northeast,1942.0,1.0,1.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1217,2500,Cheng Yixiao,39.0,China,Beijing,Video streaming app,Media & Entertainment,China,,True,D,M,Cheng,Yixiao,,,,1984.0,1.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1217,2500,Andrew Cherng,75.0,United States,Las Vegas,Fast food,Food & Beverage,United States,,True,Split Family Fortune,M,Cherng,Andrew,,Nevada,West,1948.0,4.0,2.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1217,2500,Peggy Cherng,75.0,United States,Las Vegas,Fast food,Food & Beverage,United States,,True,Split Family Fortune,F,Cherng,Peggy,,Nevada,West,1947.0,12.0,18.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1217,2500,Leon G. Cooperman,79.0,United States,Boca Raton,Hedge funds,Finance & Investments,United States,"Omega Advisors, Inc.",True,E,M,Cooperman,Leon G.,Founder,Florida,South,1943.0,4.0,25.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1217,2500,Yadu Hari Dalmia & family,75.0,India,Delhi,Cement,Manufacturing,India,,False,U,M,Dalmia,Yadu Hari,,,,1947.0,6.0,2.0,180.44,7.7,"$2,611,000,000,000 ",28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
1217,2500,Henry Davis,72.0,United States,Omaha,Beef processing,Food & Beverage,United States,,False,U,M,Davis,Henry,,Nebraska,Midwest,1951.0,2.0,16.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1217,2500,Oleg Deripaska,55.0,Russia,Moscow,"Aluminum, utilities",Metals & Mining,Russia,,True,U,M,Deripaska,Oleg,,,,1968.0,1.0,2.0,180.75,4.5,"$1,699,876,578,871 ",81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756
1217,2500,Sergey Dmitriev,57.0,Cyprus,Paralimni,Software,Technology,Cyprus,,True,D,M,Dmitriev,Sergey,,,,1966.0,3.0,11.0,102.51,0.3,"$24,564,647,935 ",75.9,99.3,80.8,24.5,22.4,1198575.0,35.126413,33.429859
1217,2500,Joseph Edelman,67.0,United States,New York,Hedge funds,Finance & Investments,United States,Perceptive Advisors,True,D,M,Edelman,Joseph,Founder & CEO,New York,Northeast,1955.0,6.0,10.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1217,2500,Sandeep Engineer,61.0,India,Ahmedabad,Plastic pipes,Manufacturing,India,,True,D,M,Engineer,Sandeep,,,,1961.0,5.0,11.0,180.44,7.7,"$2,611,000,000,000 ",28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
1217,2500,Alceu Elias Feldmann & family,73.0,Brazil,Curitiba,Fertilizer,Energy,Brazil,,True,D,M,Feldmann,Alceu Elias,,,,1949.0,7.0,1.0,167.4,3.7,"$1,839,758,040,766 ",51.3,115.4,75.7,14.2,65.1,212559417.0,-14.235004,-51.92528
1217,2500,Serge Godin,73.0,Canada,Westmount,Information technology,Technology,Canada,CGI Group,True,U,M,Godin,Serge,Chairman and CEO,,,1949.0,11.0,17.0,116.76,1.9,"$1,736,425,629,520 ",68.9,100.9,81.9,12.8,24.5,36991981.0,56.130366,-106.346771
1217,2500,Alec Gores,70.0,United States,Beverly Hills,Private equity,Finance & Investments,United States,,True,D,M,Gores,Alec,,California,West,1953.0,3.0,18.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1217,2500,Bill Haslam,64.0,United States,Knoxville,Gas stations,Fashion & Retail,United States,,False,U,M,Haslam,Bill,,Tennessee,South,1958.0,8.0,23.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1217,2500,J. Tomilson Hill,74.0,United States,New York,Investments,Finance & Investments,United States,,True,D,M,Hill,J. Tomilson,,New York,Northeast,1948.0,5.0,24.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1217,2500,Jay-Z,53.0,United States,New York,Music,Media & Entertainment,United States,,True,U,M,Jay-Z,,,New York,Northeast,1969.0,12.0,4.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1217,2500,Baba Kalyani,74.0,India,Pune,Engineering,Automotive,India,,False,E,M,Kalyani,Baba,,,,1949.0,1.0,7.0,180.44,7.7,"$2,611,000,000,000 ",28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
1217,2500,Saban Cemil Kazanci,62.0,Turkey,Istanbul,Energy,Energy,Turkey,,False,R,M,Kazanci,Saban Cemil,,,,1961.0,2.0,13.0,234.44,15.2,"$754,411,708,203 ",23.9,93.2,77.4,17.9,42.3,83429615.0,38.963745,35.243322
1217,2500,Brad Kelley,66.0,United States,Franklin,Tobacco,Real Estate,United States,,True,D,M,Kelley,Brad,,Tennessee,South,1956.0,12.0,23.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1217,2500,Wolfgang Leitner,70.0,Austria,Graz,Engineering,Construction & Engineering,Austria,,True,U,M,Leitner,Wolfgang,,,,1953.0,3.0,27.0,118.06,1.5,"$446,314,739,528 ",85.1,103.1,81.6,25.4,51.4,8877067.0,47.516231,14.550072
1217,2500,Li Hongxin & family,70.0,China,Yanzhou,Paper & related products,Manufacturing,China,,True,D,M,Li,Hongxin,,,,1953.0,3.0,7.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1217,2500,Lin Chen-hai,76.0,Taiwan,Taipei,Real estate,Real Estate,Taiwan,,True,D,M,Lin,Chen-hai,,,,1947.0,3.0,1.0,,,,,,,,,,,
1217,2500,Lu Yiwen,36.0,China,Shenzhen,Jewelry,Fashion & Retail,China,,True,D,F,Lu,Yiwen,,,,1987.0,1.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1217,2500,Prayudh Mahagitsiri,77.0,Thailand,Bangkok,"Coffee, shipping",Food & Beverage,Thailand,,False,U,M,Mahagitsiri,Prayudh,,,,1946.0,1.0,1.0,113.27,0.7,"$543,649,976,166 ",49.3,99.8,76.9,14.9,29.5,69625582.0,15.870032,100.992541
1217,2500,Willy Michel,76.0,Switzerland,Burgdorf,Medical devices,Healthcare,Switzerland,,True,E,M,Michel,Willy,,,,1947.0,1.0,1.0,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512
1217,2500,Lachhman Das Mittal,92.0,India,Delhi,Tractors,Automotive,India,,False,E,M,Mittal,Lachhman Das,,,,1930.0,11.0,5.0,180.44,7.7,"$2,611,000,000,000 ",28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
1217,2500,Bobby Murphy,34.0,United States,Venice,Snapchat,Technology,United States,Snap,True,D,M,Murphy,Bobby,Cofounder,California,West,1988.0,7.0,19.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1217,2500,Tomas Olivo Lopez,49.0,Spain,Marbella,Shopping centers,Real Estate,Spain,,True,U,M,Olivo Lopez,Tomas,,,,1974.0,1.0,1.0,110.96,0.7,"$1,394,116,310,769 ",88.9,102.7,83.3,14.2,47.0,47076781.0,40.463667,-3.74922
1217,2500,Eren Ozmen,64.0,United States,Reno,Aerospace,Manufacturing,United States,,True,D,F,Ozmen,Eren,,Nevada,West,1958.0,9.0,3.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1217,2500,John Pritzker,69.0,United States,San Francisco,"Hotels, investments",Finance & Investments,United States,,False,D,M,Pritzker,John,,California,West,1953.0,8.0,10.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1217,2500,Qiu Minxiu,77.0,China,Shangyu,Semiconductors,Technology,China,,True,E,F,Qiu,Minxiu,,,,1945.0,9.0,17.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1217,2500,Ferit Faik Sahenk,59.0,Turkey,Istanbul,Diversified,Diversified,Turkey,,False,U,M,Sahenk,Ferit Faik,,,,1964.0,3.0,18.0,234.44,15.2,"$754,411,708,203 ",23.9,93.2,77.4,17.9,42.3,83429615.0,38.963745,35.243322
1217,2500,Wenrong Shen,77.0,China,Zhangjiagang,Steel production,Metals & Mining,China,,True,U,M,Shen,Wenrong,,,,1946.0,2.0,13.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1217,2500,Yuzhu Shi,60.0,China,Shanghai,"Online games, investments",Diversified,China,,True,D,M,Shi,Yuzhu,,,,1962.0,9.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1217,2500,Jeff Sutton,63.0,United States,New York,Real estate,Real Estate,United States,,True,D,M,Sutton,Jeff,,New York,Northeast,1960.0,1.0,17.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1217,2500,"Henry Sy, Jr.",69.0,Philippines,Manila,Diversified,Diversified,Philippines,,False,D,M,Sy,Henry,,,,1954.0,1.0,1.0,129.61,2.5,"$376,795,508,680 ",35.5,107.5,71.1,14.0,43.1,108116615.0,12.879721,121.774017
1217,2500,Andrew Tan,71.0,Philippines,Manila,Diversified,Diversified,Philippines,,True,D,M,Tan,Andrew,,,,1952.0,2.0,1.0,129.61,2.5,"$376,795,508,680 ",35.5,107.5,71.1,14.0,43.1,108116615.0,12.879721,121.774017
1217,2500,Arvind Tiku,53.0,Singapore,Singapore,"Oil & gas, investments",Energy,India,,True,U,M,Tiku,Arvind,,,,1970.0,2.0,22.0,114.41,0.6,"$372,062,527,489 ",84.8,100.6,83.1,13.1,21.0,5703569.0,1.352083,103.819836
1217,2500,Byron Trott,64.0,United States,Winnetka,Investments,Finance & Investments,United States,,True,U,M,Trott,Byron,,Illinois,Midwest,1958.0,12.0,2.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1217,2500,Donald Trump,76.0,United States,Palm Beach,Real estate,Real Estate,United States,,False,D,M,Trump,Donald,,Florida,South,1946.0,6.0,14.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1217,2500,Peter Unger,78.0,Germany,Neustadt an der Waldnaab,Auto repair,Automotive,Germany,,True,U,M,Unger,Peter,,,,1944.0,8.0,20.0,112.85,1.4,"$3,845,630,030,824 ",70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526
1217,2500,Roger Wang,74.0,China,Nanjing,Retail,Fashion & Retail,United States,,True,D,M,Wang,Roger,,,,1949.0,1.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1217,2500,Oprah Winfrey,69.0,United States,Montecito,TV shows,Media & Entertainment,United States,,True,D,F,Winfrey,Oprah,"Entrepreneur, Personality, Philanthropist",California,West,1954.0,1.0,29.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1217,2500,Wu Zhigang & family,88.0,China,Shenyang,Bakery chain,Food & Beverage,China,,True,D,M,Wu,Zhigang,,,,1935.0,1.0,14.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1217,2500,Xie Weitong,66.0,Singapore,,Cobalt,Metals & Mining,Taiwan,,True,D,M,Xie,Weitong,,,,1957.0,1.0,1.0,114.41,0.6,"$372,062,527,489 ",84.8,100.6,83.1,13.1,21.0,5703569.0,1.352083,103.819836
1217,2500,Ye Guofu,45.0,China,Guangzhou,Retail,Fashion & Retail,China,,True,R,M,Ye,Guofu,,,,1978.0,1.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1272,2400,Brian Acton,51.0,United States,Palo Alto,WhatsApp,Technology,United States,WhatsApp Inc.,True,D,M,Acton,Brian,Cofounder,California,West,1972.0,2.0,17.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1272,2400,Abdulla Al Futtaim & family,83.0,United Arab Emirates,Dubai,"Auto dealers, investments",Automotive,United Arab Emirates,,False,D,M,Al Futtaim,Abdulla,,,,1940.0,1.0,1.0,114.52,-1.9,"$421,142,267,938 ",36.8,108.4,77.8,0.1,15.9,9770529.0,23.424076,53.847818
1272,2400,Edward Bass,77.0,United States,Fort Worth,"Oil, investments",Energy,United States,,False,E,M,Bass,Edward,,Texas,South,1945.0,9.0,10.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1272,2400,Koos Bekker,70.0,South Africa,Cape Town,"Media, investments",Media & Entertainment,South Africa,,True,U,M,Bekker,Koos,,,,1952.0,12.0,14.0,158.93,4.1,"$351,431,649,241 ",22.4,100.9,63.9,27.5,29.2,58558270.0,-30.559482,22.937506
1272,2400,Otto Philipp Braun,45.0,Germany,Melsungen,Medical technology,Healthcare,Germany,,False,D,M,Braun,Otto Philipp,,,,1978.0,1.0,1.0,112.85,1.4,"$3,845,630,030,824 ",70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526
1272,2400,Chen Tei-fu,74.0,United States,Los Angeles,Herbal products,Fashion & Retail,Taiwan,,True,D,M,Chen,Tei-fu,,California,West,1948.0,4.0,19.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1272,2400,Abilio dos Santos Diniz,86.0,Brazil,Sao Paulo,Retail,Fashion & Retail,Brazil,,False,D,M,Diniz,Abilio dos Santos,,,,1936.0,12.0,28.0,167.4,3.7,"$1,839,758,040,766 ",51.3,115.4,75.7,14.2,65.1,212559417.0,-14.235004,-51.92528
1272,2400,Marcel Erni,58.0,Switzerland,Zug,Private equity,Finance & Investments,Switzerland,,True,D,M,Erni,Marcel,,,,1965.0,1.0,1.0,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512
1272,2400,Doris Fisher,91.0,United States,San Francisco,Gap,Fashion & Retail,United States,Gap Inc.,True,D,F,Fisher,Doris,Cofounder,California,West,1931.0,8.0,23.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1272,2400,Gerald Ford,78.0,United States,Dallas,Banking,Finance & Investments,United States,Ford Financial Fund,True,D,M,Ford,Gerald,Managing Member,Texas,South,1944.0,8.0,4.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1272,2400,Bernard Fraisse & family,66.0,France,Paris,Pharmaceuticals,Healthcare,France,,True,E,M,Fraisse,Bernard,,,,1956.0,8.0,10.0,110.05,1.1,"$2,715,518,274,227 ",65.6,102.5,82.5,24.2,60.7,67059887.0,46.227638,2.213749
1272,2400,Alfred Gantner,55.0,Switzerland,Zug,Private equity,Finance & Investments,Switzerland,,True,D,M,Gantner,Alfred,,,,1968.0,4.0,1.0,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512
1272,2400,Paul Gauselmann & family,88.0,Germany,Espelkamp,Gambling,Gambling & Casinos,Germany,,True,D,M,Gauselmann,Paul,,,,1934.0,8.0,26.0,112.85,1.4,"$3,845,630,030,824 ",70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526
1272,2400,Mitchell Goldhar,61.0,Canada,North York,Real estate,Real Estate,Canada,SmartCentres,True,D,M,Goldhar,Mitchell,Owner,,,1961.0,7.0,15.0,116.76,1.9,"$1,736,425,629,520 ",68.9,100.9,81.9,12.8,24.5,36991981.0,56.130366,-106.346771
1272,2400,Peter Hargreaves,76.0,United Kingdom,Bristol,Financial services,Finance & Investments,United Kingdom,,True,D,M,Hargreaves,Peter,,,,1946.0,10.0,5.0,119.62,1.7,"$2,827,113,184,696 ",60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973
1272,2400,Xuande Hua & family,79.0,China,Taizhou,Pharmaceuticals,Healthcare,China,,True,D,M,Hua,Xuande,,,,1943.0,10.0,30.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1272,2400,Kwek Leng Kee,68.0,Singapore,Singapore,Diversified,Diversified,Singapore,,False,U,M,Kwek,Leng Kee,,,,1955.0,1.0,1.0,114.41,0.6,"$372,062,527,489 ",84.8,100.6,83.1,13.1,21.0,5703569.0,1.352083,103.819836
1272,2400,Catherine Lozick,77.0,United States,Fort Lauderdale,Valve manufacturing,Manufacturing,United States,,False,U,F,Lozick,Catherine,,Florida,South,1945.0,5.0,1.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1272,2400,Kalanithi Maran,57.0,India,Chennai,Media,Media & Entertainment,India,,True,E,M,Maran,Kalanithi,,,,1965.0,7.0,26.0,180.44,7.7,"$2,611,000,000,000 ",28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
1272,2400,Jed McCaleb,48.0,United States,Berkeley,Cryptocurrency,Finance & Investments,United States,,True,D,M,McCaleb,Jed,,California,West,1975.0,1.0,1.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1272,2400,Fatih Ozmen,65.0,United States,Reno,Aerospace,Manufacturing,United States,,True,D,M,Ozmen,Fatih,,Nevada,West,1958.0,2.0,2.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1272,2400,Pan Laican,,China,foshan,Soy sauce,Food & Beverage,China,,True,D,M,Pan,Laican,,,,,,,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1272,2400,Tor Peterson,58.0,Switzerland,Zug,Commodities,Metals & Mining,United States,,True,D,M,Peterson,Tor,,,,1964.0,8.0,7.0,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512
1272,2400,Daniel Pritzker,63.0,United States,Marin County,"Hotels, investments",Finance & Investments,United States,,False,D,M,Pritzker,Daniel,,California,West,1959.0,9.0,15.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1272,2400,Jinxing Qi,61.0,China,Hangzhou,Real estate,Real Estate,China,,True,U,M,Qi,Jinxing,,,,1962.0,3.0,28.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1272,2400,Qiu Jianping & family,61.0,China,Hangzhou,Hand tools,Manufacturing,China,,True,U,M,Qiu,Jianping,,,,1962.0,1.0,28.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397
1272,2400,Rajan Raheja & family,68.0,India,Mumbai,Diversified,Diversified,India,,False,E,M,Raheja,Rajan,,,,1954.0,6.0,1.0,180.44,7.7,"$2,611,000,000,000 ",28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288
1272,2400,Matthias Reinhart,63.0,Switzerland,Zurich,Financial services,Finance & Investments,Switzerland,,True,D,M,Reinhart,Matthias,,,,1960.0,1.0,1.0,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512
1272,2400,Arnout Schuijff,55.0,Netherlands,Amsterdam,Payments software,Technology,Netherlands,,True,D,M,Schuijff,Arnout,,,,1967.0,10.0,16.0,115.91,2.6,"$909,070,395,161 ",85.0,104.2,81.8,23.0,41.2,17332850.0,52.132633,5.291266
1272,2400,Hans Sy,67.0,Philippines,Manila,Diversified,Diversified,Philippines,,False,D,M,Sy,Hans,,,,1955.0,9.0,29.0,129.61,2.5,"$376,795,508,680 ",35.5,107.5,71.1,14.0,43.1,108116615.0,12.879721,121.774017
1272,2400,Herbert Sy,66.0,Philippines,Manila,Diversified,Diversified,Philippines,,False,D,M,Sy,Herbert,,,,1956.0,10.0,1.0,129.61,2.5,"$376,795,508,680 ",35.5,107.5,71.1,14.0,43.1,108116615.0,12.879721,121.774017
1272,2400,Lucio Tan,88.0,Philippines,Manila,Diversified,Diversified,Philippines,,True,U,M,Tan,Lucio,,,,1934.0,7.0,17.0,129.61,2.5,"$376,795,508,680 ",35.5,107.5,71.1,14.0,43.1,108116615.0,12.879721,121.774017
1272,2400,Tsai Ming-kai,72.0,Taiwan,Hsinchu,Semiconductors,Technology,Taiwan,,True,D,M,Tsai,Ming-kai,,,,1950.0,4.0,6.0,,,,,,,,,,,
1272,2400,Ted Turner,84.0,United States,Atlanta,Cable television,Media & Entertainment,United States,,False,U,M,Turner,Ted,,Georgia,South,1938.0,11.0,19.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1272,2400,David Walentas,84.0,United States,New York,Real estate,Real Estate,United States,,True,U,M,Walentas,David,,New York,Northeast,1938.0,8.0,7.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891
1272,2400,Urs Wietlisbach,61.0,Switzerland,Zug,Private equity,Finance & Investments,Switzerland,,True,D,M,Wietlisbach,Urs,,,,1961.0,8.0,25.0,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512
